"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-firefox_66_win81","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_100_win10","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-ie_6_xp","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.2 DHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_win81","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.2 DHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_winphone81","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA256","",""
"clientsimulation-ie_11_win10","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_121_ios_122","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_130_osx_10146","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_154_osx_1231","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_7u25","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","No connection","",""
"clientsimulation-java_8u161","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java1102","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java1703","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-libressl_283","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_102e","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_110l","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_111d","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_303","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"rating_spec","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","100","",""
"protocol_support_score_weighted","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","30","",""
"key_exchange_score","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","90","",""
"key_exchange_score_weighted","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","27","",""
"cipher_strength_score","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","60","",""
"cipher_strength_score_weighted","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","24","",""
"final_score","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","81","",""
"overall_grade","monsuivisocial.incubateur.anct.gouv.fr/51.159.10.161","443","OK","A+","",""
